How long have you used our products?,Customer Satisfaction
which of our products/services do you use?,Customer Satisfaction
how frequently do you purchase from us?,Customer Satisfaction
how would you rate our overall satisfaction with us?,Customer Satisfaction
how likely it is that you would recommend us to a friend/collegue?,Customer Satisfaction
how would you rate us?,Customer Satisfaction
how likely are you to continue doing business with us?,Customer Satisfaction
do you have any suggestions for improving our product/services?,Customer Satisfaction
what is your gender?,Customer Satisfaction
what is your age?,Customer Satisfaction
how satisfied are you overall with our customer support?,Customer Support
how satisfied were you overall with our customer support?,Customer Support
how satisfied were you with how the support staff resolved your most recent problem?,Customer Support
"if your problem was not resolved, did our staff offer to follow-up after the call?",Customer Support
how would you rate our customer service representative?,Customer Support
how long did you have to wait on te telephone before the customer service representative reaches you?,Customer Support
how long did it take for customer support to resolve your problem?,Customer Support
how many times did you contact customer support before your problem was resolved?,Customer Support
do you have any suggestions for improvement?,Customer Support
what is the most important to you in attending an event?,Event Planning
what day/time do you prefer to attend an event?,Event Planning
what is your zipcode?,Event Planning
"do you prefer networking before, during or after an event?",Event Planning
do you prefer day event or an evening event?,Event Planning
do you enjot the amibance of the events?,Event Planning
are even speakers professional?,Event Planning
how satisfied are you with the event?,Event Planning
how likely are you to recommend this event to a friend/collegue?,Event Planning
why did you attend our event?,Event Planning
how did you learn of our event?,Event Planning
what were your greatest take aways from the event?,Event Planning
was the event expensive?,Event Planning
how long have you been a member?,Member Satisfaction
"overall, how satisfied are you with the membership?",Member Satisfaction
why did you become a member? ,Member Satisfaction
how likely are you to recommend our membership program?,Member Satisfaction
how often do you use the our membership program?,Member Satisfaction
how ofter do you use our benefits?,Member Satisfaction
what is your level of satisfaction with our benefits?,Member Satisfaction
Any suggestions for improving the overall membership experience?,Member Satisfaction
have you referred another person to become a member?,Member Satisfaction
what is your overall satisfaction with the newsletter?,Newsletter Satisfaction
what can we d to improve?,Newsletter Satisfaction
would you be interersted in providing the content for the newsletter?,Newsletter Satisfaction
when is the optimal day to receive the newletter?,Newsletter Satisfaction
How many pages should the newsletter contains?,Newsletter Satisfaction
